station_slug,station_name,latitude,longitude,year,date,PM2.5,PM10,SO2,O3,CO,NO2,AQI,used_city_feature,imputed_PM2.5,imputed_PM10,imputed_SO2,imputed_O3,imputed_CO,imputed_NO2,aqi_reconstructed,gap_length_PM2.5,gap_type_PM2.5,gap_length_PM10,gap_type_PM10,gap_length_SO2,gap_type_SO2,gap_length_O3,gap_type_O3,gap_length_CO,gap_type_CO,gap_length_NO2,gap_type_NO2,gap_length,gap_type,station_tier,is_spike_PM2.5,is_spike_PM10,is_spike_SO2,is_spike_O3,is_spike_CO,is_spike_NO2
vietnam/ba-ria-vung-tau/thanh-pho-ba-ria/phuoc-hiep,Phuoc Hiep,10.5024,107.169,2022,2022-01-01,11.0,28.6,4.0,28.6,213.3,5.0,2.1895436692259596,False,True,True,True,True,True,True,True,1244,C,1244,C,1244,C,1244,C,1244,C,1244,C,1244,C,C,False,False,False,False,False,False
vietnam/ba-ria-vung-tau/thanh-pho-ba-ria/phuoc-hiep,Phuoc Hiep,10.5024,107.169,2022,2022-01-02,11.0,28.6,4.0,28.6,213.3,5.0,3.810620413097377,False,True,True,True,True,True,True,True,1244,C,1244,C,1244,C,1244,C,1244,C,1244,C,1244,C,C,False,False,False,False,False,False
vietnam/ba-ria-vung-tau/thanh-pho-ba-ria/phuoc-hiep,Phuoc Hiep,10.5024,107.169,2022,2022-01-03,11.0,28.6,4.0,28.6,213.3,5.0,7.052773900840215,False,True,True,True,True,True,True,True,1244,C,1244,C,1244,C,1244,C,1244,C,1244,C,1244,C,C,False,False,False,False,False,False
vietnam/ba-ria-vung-tau/thanh-pho-ba-ria/phuoc-hiep,Phuoc Hiep,10.5024,107.169,2022,2022-01-04,11.0,28.6,4.0,28.6,213.3,5.0,16.23887544944492,False,True,True,True,True,True,True,True,1244,C,1244,C,1244,C,1244,C,1244,C,1244,C,1244,C,C,False,False,False,False,False,False
vietnam/ba-ria-vung-tau/thanh-pho-ba-ria/phuoc-hiep,Phuoc Hiep,10.5024,107.169,2022,2022-01-05,11.0,28.6,4.0,28.6,213.3,5.0,7.052773900840215,False,True,True,True,True,True,True,True,1244,C,1244,C,1244,C,1244,C,1244,C,1244,C,1244,C,C,False,False,False,False,False,False
vietnam/ba-ria-vung-tau/thanh-pho-ba-ria/phuoc-hiep,Phuoc Hiep,10.5024,107.169,2022,2022-01-06,11.0,28.6,4.0,28.6,213.3,5.0,15.158157620197311,False,True,True,True,True,True,True,True,1244,C,1244,C,1244,C,1244,C,1244,C,1244,C,1244,C,C,False,False,False,False,False,False
vietnam/ba-ria-vung-tau/thanh-pho-ba-ria/phuoc-hiep,Phuoc Hiep,10.5024,107.169,2022,2022-01-07,11.0,28.6,4.0,28.6,213.3,5.0,11.916004132454473,False,True,True,True,True,True,True,True,1244,C,1244,C,1244,C,1244,C,1244,C,1244,C,1244,C,C,False,False,False,False,False,False
vietnam/ba-ria-vung-tau/thanh-pho-ba-ria/phuoc-hiep,Phuoc Hiep,10.5024,107.169,2022,2022-01-08,11.0,28.6,4.0,28.6,213.3,5.0,11.375645217830666,False,True,True,True,True,True,True,True,1244,C,1244,C,1244,C,1244,C,1244,C,1244,C,1244,C,C,False,False,False,False,False,False
vietnam/ba-ria-vung-tau/thanh-pho-ba-ria/phuoc-hiep,Phuoc Hiep,10.5024,107.169,2022,2022-01-09,11.0,28.6,4.0,28.6,213.3,5.0,2.1895436692259596,False,True,True,True,True,True,True,True,1244,C,1244,C,1244,C,1244,C,1244,C,1244,C,1244,C,C,False,False,False,False,False,False
vietnam/ba-ria-vung-tau/thanh-pho-ba-ria/phuoc-hiep,Phuoc Hiep,10.5024,107.169,2022,2022-01-10,11.0,28.6,4.0,28.6,213.3,5.0,4.89133824234499,False,True,True,True,True,True,True,True,1244,C,1244,C,1244,C,1244,C,1244,C,1244,C,1244,C,C,False,False,False,False,False,False
vietnam/ba-ria-vung-tau/thanh-pho-ba-ria/phuoc-hiep,Phuoc Hiep,10.5024,107.169,2022,2022-01-11,11.0,28.6,4.0,28.6,213.3,5.0,4.350979327721183,False,True,True,True,True,True,True,True,1244,C,1244,C,1244,C,1244,C,1244,C,1244,C,1244,C,C,False,False,False,False,False,False
vietnam/ba-ria-vung-tau/thanh-pho-ba-ria/phuoc-hiep,Phuoc Hiep,10.5024,107.169,2022,2022-01-12,11.0,28.6,4.0,28.6,213.3,5.0,5.431697156968796,False,True,True,True,True,True,True,True,1244,C,1244,C,1244,C,1244,C,1244,C,1244,C,1244,C,C,False,False,False,False,False,False
