city_slug;date;year;PM2,5;PM10;CO;SO2;O3;NO2;AQI
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-01;2022;22.0;;;;;;71.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-02;2022;25.0;;;;;;77.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-03;2022;31.0;;;;;;92.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-04;2022;48.0;;;;;;117.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-05;2022;31.0;;;;;;93.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-06;2022;46.0;;;;;;115.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-07;2022;40.0;;;;;;107.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-08;2022;39.0;;;;;;107.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-09;2022;22.0;;;;;;72.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-10;2022;27.0;;;;;;85.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-11;2022;26.0;;;;;;80.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-12;2022;28.0;;;;;;85.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-13;2022;40.0;;;;;;106.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-14;2022;36.0;;;;;;101.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-15;2022;41.0;;;;;;109.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-16;2022;29.0;;;;;;83.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-17;2022;35.0;;;;;;101.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-18;2022;31.0;;;;;;91.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-19;2022;45.0;;;;;;119.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-20;2022;;;;;;;
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-21;2022;26.0;;;;;;82.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-22;2022;25.0;;;;;;77.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-23;2022;13.0;;;;;;50.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-24;2022;31.0;;;;;;91.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-25;2022;25.0;;;;;;77.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-26;2022;32.0;;;;;;92.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-27;2022;43.0;;;;;;108.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-28;2022;36.0;;;;;;103.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-29;2022;32.0;;;;;;95.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-30;2022;20.0;;;;;;67.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-01-31;2022;16.0;;;;;;56.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-01;2022;;;;;;;
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-02;2022;10.0;;;;;;44.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-03;2022;;;;;;;
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-04;2022;;;;;;;
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-05;2022;;;;;;;
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-06;2022;;;;;;;
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-07;2022;;;;;;;
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-08;2022;12.0;21.0;0.0;2.0;39.0;12.0;41.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-09;2022;10.0;22.0;0.0;0.0;35.0;13.0;35.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-10;2022;9.0;23.0;0.0;2.0;33.0;16.0;35.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-11;2022;10.0;23.0;0.0;19.0;26.0;20.0;34.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-12;2022;11.0;23.0;0.0;19.0;24.0;20.0;35.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-13;2022;8.0;24.0;0.0;19.0;25.0;21.0;32.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-14;2022;8.0;20.0;0.0;19.0;31.0;21.0;32.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-15;2022;7.0;24.0;0.0;19.0;29.0;19.0;33.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-16;2022;2.0;17.0;0.0;19.0;29.0;19.0;19.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-17;2022;3.0;17.0;0.0;19.0;28.0;19.0;19.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-18;2022;3.0;20.0;0.0;3.0;28.0;18.0;21.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-19;2022;2.0;12.0;0.0;2.0;27.0;19.0;16.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-20;2022;3.0;17.0;0.0;2.0;28.0;18.0;19.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-21;2022;3.0;19.0;0.0;2.0;29.0;20.0;20.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-22;2022;5.0;28.0;0.0;2.0;30.0;20.0;26.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-23;2022;7.0;31.0;0.0;3.0;30.0;21.0;28.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-24;2022;3.0;6.0;0.0;1.0;27.0;19.0;15.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-25;2022;9.0;26.0;0.0;20.0;28.0;20.0;37.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-26;2022;9.0;2.0;0.0;20.0;26.0;20.0;30.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-27;2022;9.0;20.0;0.0;20.0;28.0;20.0;34.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-02-28;2022;8.0;26.0;0.0;20.0;29.0;19.0;34.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-01;2022;10.0;27.0;0.0;9.0;29.0;22.0;37.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-02;2022;14.0;37.0;0.0;0.0;31.0;23.0;47.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-03;2022;25.0;40.0;0.0;0.0;30.0;20.0;57.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-04;2022;15.0;40.0;0.0;1.0;30.0;18.0;47.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-05;2022;8.0;31.0;0.0;1.0;29.0;21.0;36.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-06;2022;8.0;22.0;0.0;2.0;27.0;19.0;33.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-07;2022;12.0;66.0;0.0;1.0;26.0;21.0;49.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-08;2022;10.0;29.0;0.0;0.0;28.0;21.0;37.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-09;2022;16.0;42.0;0.0;1.0;30.0;20.0;48.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-10;2022;14.0;30.0;0.0;1.0;27.0;21.0;44.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-11;2022;17.0;2.0;0.0;1.0;26.0;20.0;40.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-12;2022;20.0;2.0;0.0;1.0;29.0;22.0;47.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-13;2022;12.0;29.0;0.0;1.0;28.0;23.0;41.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-14;2022;8.0;28.0;0.0;1.0;25.0;18.0;33.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-15;2022;7.0;19.0;0.0;0.0;26.0;17.0;28.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-16;2022;10.0;3.0;0.0;0.0;25.0;18.0;29.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-17;2022;11.0;17.0;0.0;0.0;23.0;21.0;32.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-18;2022;10.0;22.0;0.0;2.0;27.0;17.0;33.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-19;2022;16.0;28.0;0.0;3.0;29.0;19.0;44.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-20;2022;12.0;36.0;0.0;3.0;35.0;8.0;43.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-21;2022;5.0;23.0;0.0;6.0;31.0;5.0;27.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-22;2022;6.0;24.0;0.0;4.0;33.0;6.0;32.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-23;2022;6.0;22.0;0.0;15.0;33.0;7.0;39.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-24;2022;5.0;20.0;0.0;22.0;37.0;5.0;43.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-25;2022;5.0;3.0;0.0;23.0;37.0;5.0;42.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-26;2022;7.0;2.0;0.0;23.0;38.0;8.0;47.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-27;2022;6.0;2.0;0.0;23.0;35.0;6.0;45.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-28;2022;10.0;4.0;0.0;22.0;34.0;10.0;49.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-29;2022;17.0;2.0;0.0;22.0;38.0;8.0;62.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-30;2022;27.0;;;;;;83.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-03-31;2022;15.0;2.0;0.0;3.0;40.0;9.0;41.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-01;2022;9.0;2.0;0.0;3.0;48.0;8.0;36.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-02;2022;8.0;2.0;0.0;3.0;48.0;7.0;34.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-03;2022;8.0;2.0;0.0;6.0;61.0;5.0;49.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-04;2022;11.0;2.0;0.0;9.0;40.0;8.0;38.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-05;2022;8.0;11.0;0.0;0.0;46.0;7.0;34.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-06;2022;17.0;22.0;0.0;8.0;46.0;8.0;50.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-07;2022;18.0;30.0;0.0;12.0;44.0;8.0;54.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-08;2022;;;;;;;
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-09;2022;;;;;;;
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-10;2022;;;;;;;
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-11;2022;;;;;;;
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-12;2022;;;;;;;
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-13;2022;;;;;;;
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-14;2022;;;;;;;
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-15;2022;;;;;;;
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-16;2022;;;;;;;
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-17;2022;;;;;;;
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-18;2022;;;;;;;
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-19;2022;;;;;;;
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-20;2022;8.0;30.0;0.0;0.0;39.0;9.0;39.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-21;2022;8.0;23.0;0.0;0.0;54.0;8.0;44.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-22;2022;9.0;2.0;0.0;9.0;36.0;5.0;33.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-23;2022;10.0;1.0;0.0;10.0;36.0;6.0;33.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-24;2022;10.0;1.0;0.0;0.0;31.0;6.0;32.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-25;2022;6.0;1.0;0.0;0.0;33.0;5.0;26.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-26;2022;6.0;2.0;0.0;0.0;34.0;6.0;27.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-27;2022;15.0;1.0;0.0;1.0;34.0;7.0;40.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-28;2022;7.0;1.0;0.0;4.0;35.0;4.0;31.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-29;2022;9.0;9.0;0.0;1.0;31.0;5.0;33.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-04-30;2022;7.0;12.0;0.0;0.0;33.0;5.0;30.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-05-01;2022;6.0;11.0;0.0;0.0;32.0;3.0;77.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-05-02;2022;5.0;9.0;0.0;0.0;35.0;4.0;149.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-05-03;2022;5.0;14.0;0.0;0.0;37.0;4.0;151.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-05-04;2022;8.0;14.0;0.0;0.0;33.0;3.0;156.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-05-05;2022;9.0;26.0;0.0;0.0;36.0;5.0;161.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-05-06;2022;12.0;1.0;0.0;0.0;34.0;9.0;203.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-05-07;2022;8.0;28.0;0.0;0.0;34.0;6.0;161.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-05-08;2022;7.0;16.0;0.0;2.0;34.0;5.0;154.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-05-09;2022;7.0;20.0;0.0;1.0;34.0;4.0;156.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-05-10;2022;10.0;1.0;0.0;0.0;31.0;7.0;199.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-05-11;2022;8.0;17.0;0.0;0.0;31.0;4.0;156.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-05-12;2022;11.0;28.0;;;;;43.0
vietnam/ho-chi-minh/ho-chi-minh-city;2022-05-13;2022;9.0;18.0;0.0;0.0;;;191.0
